10011,Garage,38
10011,Pedicab Driver,2
10011,Parking Lot,4
10011,Debt Collection Agency,1
10011,Garage and Parking Lot,1
10011,Cigarette Retail Dealer,69
10011,Sidewalk Cafe,44
10011,Ticket Seller,1
10011,Dealer In Products,3
10011,Games of Chance,1
10011,Process Server Individual,1
10011,Auction House Premises,1
10011,Horse Drawn Driver,2
10011,Motion Picture Projectionist,1
10011,Secondhand Dealer - General,38
10011,Catering Establishment,1
10011,General Vendor,13
10011,Auctioneer,2
10011,Pawnbroker,1
10011,Laundry Jobber,33
10011,Tow Truck Driver,2
10011,Pedicab Business,1
10011,Electronics Store,29
10011,Amusement Arcade,1
10011,Electronic & Appliance Service,16
10011,Home Improvement Contractor,55
10011,Amusement Device Permanent,1
10011,Laundry,13
10011,Home Improvement Salesperson,40
10011,Locksmith,17
10011,Stoop Line Stand,22
10012,Ticket Seller,1
10012,Garage,6
10012,Pedicab Business,1
10012,Electronics Store,9
10012,Home Improvement Contractor,23
10012,Locksmith,3
10012,Scale Dealer Repairer,1
10012,Process Server Individual,2
10012,General Vendor,8
10012,Electronic & Appliance Service,6
10012,Cabaret,2
10012,Auctioneer,3
10012,Stoop Line Stand,8
10012,Employment Agency,2
10012,Pedicab Driver,4
10012,Laundry,5
10012,Newsstand,3
10012,Home Improvement Salesperson,20
10012,Garage and Parking Lot,1
10012,Laundry Jobber,20
10012,Cigarette Retail Dealer,38
10012,Secondhand Dealer - General,17
10012,Dealer In Products,1
10012,Sidewalk Cafe,60
10012,Scrap Metal Processor,1
10012,Parking Lot,4
10013,Laundry Jobber,22
10013,Electronic & Appliance Service,12
10013,Process Serving Agency,1
10013,Laundries,1
10013,Games of Chance,1
10013,Cabaret,1
10013,Catering Establishment,2
10013,Employment Agency,3
10013,Stoop Line Stand,66
10013,Tow Truck Driver,2
10013,Secondhand Dealer - General,59
10013,Home Improvement Contractor,41
10013,Newsstand,9
10013,Sidewalk Cafe,73
10013,Home Improvement Salesperson,30
10013,Debt Collection Agency,1
10013,Laundry,9
10013,Secondhand Dealer - Auto,2
10013,Parking Lot,11
10013,Cigarette Retail Dealer,60
10013,Locksmith,4
10013,Amusement Arcade,1
10013,Electronics Store,24
10013,Garage,16
10013,Dealer In Products,9
10013,Garage and Parking Lot,1
10013,General Vendor,7
10013,Pool or Billiard Room,1
10014,Home Improvement Contractor,25
10014,Garage and Parking Lot,2
10014,Laundry Jobber,23
10014,Electronics Store,5
10014,Garage,16
10014,Pedicab Business,3
10014,Locksmith,6
10014,Secondhand Dealer - Auto,1
10014,Tow Truck Company,1
10014,Newsstand,2
10014,Laundry,11
10014,Stoop Line Stand,18
10014,Pedicab Driver,2
10014,Games of Chance,2
10014,Employment Agency,1
10014,Electronic & Appliance Service,4
10014,Secondhand Dealer - General,19
10014,Cabaret,4
10014,Laundries,2
10014,Auctioneer,1
10014,Sidewalk Cafe,94
10014,Process Server Individual,1
10014,Parking Lot,2
10014,General Vendor,3
10014,Home Improvement Salesperson,28
10014,Cigarette Retail Dealer,48
10014,Pool or Billiard Room,1
10016,Debt Collection Agency,5
10016,Ticket Seller,7
10016,Home Improvement Contractor,61
10016,Newsstand,9
10016,Process Server Individual,2
10016,Dealer In Products,8
10016,Tow Truck Driver,4
10016,Electronics Store,17
10016,Garage,58
10016,Home Improvement Salesperson,35
10016,Pedicab Business,1
10016,Catering Establishment,1
10016,Games of Chance,2
10016,Electronic & Appliance Service,16
10016,Process Serving Agency,2
10016,General Vendor,9
10016,Laundry Jobber,49
10016,Motion Picture Projectionist,1
10016,Parking Lot,4
10016,Secondhand Dealer - General,23
10016,Locksmith,10
10016,Cigarette Retail Dealer,68
10016,Stoop Line Stand,14
10016,Laundry,13
10016,Sidewalk Cafe,29
10016,Employment Agency,16
10016,Amusement Device Permanent,1
10016,Pedicab Driver,1
10017,Home Improvement Salesperson,8
10017,Sightseeing Bus,1
