10001,15057,3527,4031
10002,9316,5023,5588
10003,18995,3331,4267
10004,1403,368,662
10007,1887,376,654
10008,5358,133,191
10009,4420,2579,3748
10010,5038,1276,1939
10011,9277,2177,3081
10012,12447,1406,1713
10013,4620,1484,2137
10014,7404,2323,2813
10016,5903,2301,2919
10017,1674,714,718
10018,4603,1667,1248
10019,5608,2399,3698
10020,1047,230,286
10021,2526,659,1005
10022,6732,1399,1674
10023,7307,1883,3095
10024,5795,1556,3083
10025,10187,3513,6383
10026,3228,3400,3912
10027,10670,6224,7741
10028,5039,887,1247
10029,7903,7725,8917
10030,1348,2426,2517
10031,3884,4802,5151
10032,5372,4167,4571
10033,3269,2835,2815
10034,2352,2113,1778
10035,8318,5359,6062
10036,12520,4077,4144
10037,1291,1683,1854
10038,4066,1742,2355
10039,2776,3519,3684
10040,2714,2344,2284
10044,195,259,331
10055,881,112,233
10065,3041,751,1301
10075,474,96,152
10104,1182,30,77
10105,394,135,178
10106,876,299,437
10119,1327,266,125
10120,2524,127,141
10121,380,153,109
10123,2128,177,205
10128,3173,888,1372
10138,13628,92,164
10151,582,40,96
10153,1162,102,192
10155,135,42,58
10162,341,130,236
10211,538,171,130
10280,349,143,320
10301,3593,3515,5366
10302,2394,1912,2544
10303,2989,2379,3748
10304,4093,3872,5802
10305,1964,1492,3282
10306,3963,1786,4812
10307,820,555,1314
10308,1296,740,2098
10309,2135,844,2171
10310,1993,1903,2819
10312,2423,1206,3381
10314,8750,2415,6402
10451,7817,6172,6240
10452,7131,7285,5915
10453,5745,8058,7409
10454,3719,4774,5138
10455,8264,5673,6382
10456,6682,9876,8926
10457,6928,9025,7631
10458,9093,8358,7217
10459,5931,6215,6509
10460,5491,6581,5527
10461,5448,2749,4893
10462,6433,4385,5512
10463,4421,2193,3394
10465,2534,1773,3180
10466,3858,5144,5351
10467,7209,7743,8542
10468,9061,7082,6814
10469,4263,3174,4165
10470,1036,934,984
10471,1926,655,1095
10472,4136,6360,5373
10473,6752,5780,6184
10474,2629,2665,2834
10475,5715,1468,2350
11004,740,250,461
11040,278,127,278
11101,6572,3198,4085
11102,2459,1802,2231
11103,3073,1658,1756
11104,1034,660,1079
11105,2576,1158,1834
11106,3719,2393,2936
11201,12223,4037,6137
11202,1801,279,478
11203,5460,6298,5975
11204,2614,1473,2202
11205,5561,2248,3013
11206,9923,7355,6853
11207,8304,13223,10221
11208,6972,9694,7820
11209,6396,2327,4332
11210,4946,2630,3008
11211,6417,2962,3373
11212,8492,12025,10889
11213,5941,6155,6291
11214,7097,3073,4853
11215,5744,1664,2803
11216,6499,6249,6614
11217,10418,2457,3613
11218,4130,2275,2810
11219,4391,2098,2895
11220,5475,4755,4822
11221,6879,8381,8984
11222,3381,1586,2042
11223,4938,3335,4531
11224,4101,3735,4073
11225,4704,4317,4749
11226,8299,9220,7928
11228,1725,1037,1625
11229,4595,2066,2725
11230,6013,2884,3489
11231,3660,2070,2698
11232,2762,2061,2172
11233,6041,8821,8611
11234,10026,3594,5884
11235,6911,3889,5075
11236,6017,5910,7987
11237,3071,3308,2446
11238,6443,4172,4632
11239,3509,605,626
11241,310,77,186
11249,2566,1063,1189
11354,9043,3285,3471
11355,1930,1393,1916
11356,2087,813,1277
11357,1418,587,1657
11358,1467,936,1346
11361,1839,816,1457
11362,1218,272,744
11364,1037,418,942
11365,2243,1033,1793
11366,1431,422,751
11367,2514,1404,2281
11368,4142,6085,3721
11369,2427,1962,2071
11370,1173,866,854
11371,54,42,33
11372,5104,4515,3958
11373,12749,3291,3344
11374,4555,1047,1475
11375,5038,1679,2854
11377,5282,3543,4321
11378,1955,1109,1716
11379,957,497,916
11385,9112,5539,6999
11386,691,567,601
11405,616,211,259
11411,614,604,681
11412,1941,2637,2616
11413,2718,2424,2514
11414,690,237,711
11415,361,193,361
11416,1684,1274,1399
11417,3374,2090,3111
11418,2183,2035,2442
11419,2765,3314,3934
11420,2967,2308,3202
11421,2773,1969,2256
11422,964,1243,1507
11423,1401,1479,1945
11426,512,393,516
11427,985,754,1136
11428,156,187,263
11429,2065,2193,2433
11432,6412,3743,4444
11433,3077,3944,4117
11434,2892,3446,3342
11435,3017,2833,3099
11436,2206,1943,1734
11691,3945,4433,5906
11692,1101,1929,2361
11693,142,129,192
11694,1962,1523,2049
11697,82,33,78
