boro,zipcode,businesses,cafe,pawn,debt,cig,total_select_bus,hpdA,hpdB,hpdC,hpdTotal,negativeRodent,positiveRodent,total_crime,violation,misdemeanor,felony,theft,assault,harassment,population,pop_per_sqmile
Queens,11004,101.0,,,,,,5.0,65.0,35.0,105.0,73.0,76.0,3702.0,468.0,1815.0,1419.0,740.0,250.0,461.0,14682.0,14388.66
Queens,11005,5.0,,,,,,,,,,,,,,,,,,,,
Queens,11411,96.0,,,,,,49.0,353.0,89.0,491.0,296.0,168.0,5358.0,692.0,2501.0,2165.0,614.0,604.0,681.0,21282.0,17687.64
Queens,11413,209.0,,,,,,189.0,1138.0,544.0,1871.0,819.0,467.0,20486.0,2541.0,9885.0,8060.0,2718.0,2424.0,2514.0,39827.0,13046.46
Queens,11422,153.0,,,,,,110.0,662.0,282.0,1054.0,311.0,222.0,10641.0,1521.0,4856.0,4264.0,964.0,1243.0,1507.0,30449.0,4873.21
Queens,11426,173.0,,,,,,4.0,45.0,16.0,65.0,163.0,209.0,4128.0,526.0,2028.0,1574.0,512.0,393.0,516.0,18727.0,11552.09
Queens,11427,140.0,,,,,,130.0,616.0,105.0,851.0,161.0,148.0,7982.0,1148.0,3960.0,2874.0,985.0,754.0,1136.0,23014.0,15531.36
Queens,11428,179.0,,,,,,99.0,518.0,170.0,787.0,244.0,148.0,1777.0,264.0,836.0,677.0,156.0,187.0,263.0,21023.0,25192.34
Queens,11429,187.0,,,,,,142.0,821.0,266.0,1229.0,541.0,297.0,17902.0,2459.0,8659.0,6784.0,2065.0,2193.0,2433.0,27647.0,20794.49
Queens,11414,255.0,,,,,,91.0,332.0,114.0,537.0,295.0,269.0,4365.0,718.0,2124.0,1523.0,690.0,237.0,711.0,28121.0,12292.73
Queens,11415,123.0,,,,,,404.0,1484.0,265.0,2153.0,127.0,132.0,2234.0,366.0,1187.0,681.0,361.0,193.0,361.0,20956.0,35355.55
Queens,11416,260.0,,,,,,252.0,864.0,301.0,1417.0,462.0,411.0,11112.0,1412.0,5863.0,3837.0,1684.0,1274.0,1399.0,23668.0,34977.35
Queens,11417,301.0,,,,,,187.0,746.0,261.0,1194.0,527.0,479.0,21739.0,3152.0,11190.0,7397.0,3374.0,2090.0,3111.0,28607.0,25964.14
Queens,11418,454.0,,,,,,586.0,2201.0,670.0,3457.0,567.0,419.0,16493.0,2466.0,8695.0,5332.0,2183.0,2035.0,2442.0,36571.0,22694.55
Queens,11419,662.0,,,,,,403.0,1641.0,592.0,2636.0,838.0,491.0,25609.0,3969.0,12884.0,8756.0,2765.0,3314.0,3934.0,48867.0,43351.49
Queens,11420,490.0,,,,,,268.0,1409.0,542.0,2219.0,1028.0,557.0,21717.0,3233.0,10752.0,7732.0,2967.0,2308.0,3202.0,45498.0,21430.46
Queens,11421,313.0,,,,,,396.0,1390.0,433.0,2219.0,499.0,358.0,18065.0,2272.0,9702.0,6091.0,2773.0,1969.0,2256.0,37664.0,30881.52
Queens,11368,756.0,1.0,1.0,0.0,113.0,115.0,1836.0,5619.0,1725.0,9180.0,3128.0,6346.0,36798.0,3828.0,20367.0,12603.0,4142.0,6085.0,3721.0,98841.0,38864.33
Queens,11369,202.0,,,,,,514.0,1614.0,546.0,2674.0,476.0,328.0,18725.0,2108.0,10886.0,5731.0,2427.0,1962.0,2071.0,36110.0,32616.57
Queens,11370,150.0,,,,,,115.0,475.0,121.0,711.0,418.0,1574.0,8306.0,865.0,4733.0,2708.0,1173.0,866.0,854.0,43142.0,30152.15
Queens,11372,615.0,2.0,6.0,0.0,70.0,78.0,1398.0,4452.0,1420.0,7270.0,2870.0,8199.0,35732.0,4048.0,19892.0,11792.0,5104.0,4515.0,3958.0,71308.0,97325.47
Queens,11373,546.0,,,,,,1396.0,4673.0,1241.0,7310.0,2408.0,6974.0,38179.0,3370.0,23170.0,11639.0,12749.0,3291.0,3344.0,105723.0,60548.99
Queens,11377,660.0,6.0,1.0,1.0,94.0,102.0,1414.0,4909.0,1115.0,7438.0,1612.0,2145.0,34159.0,4355.0,18428.0,11376.0,5282.0,3543.0,4321.0,88339.0,34536.25
Queens,11378,469.0,,,,,,167.0,660.0,309.0,1136.0,779.0,1294.0,13325.0,1733.0,7506.0,4086.0,1955.0,1109.0,1716.0,34053.0,13268.8
StatenIsland,10302,262.0,,,,,,477.0,1770.0,433.0,2680.0,1480.0,660.0,16281.0,2573.0,9881.0,3827.0,2394.0,1912.0,2544.0,16406.0,13875.4
StatenIsland,10303,250.0,,,,,,760.0,2636.0,717.0,4113.0,1829.0,1177.0,21575.0,3770.0,13064.0,4741.0,2989.0,2379.0,3748.0,23530.0,5426.0
StatenIsland,10310,328.0,,,,,,350.0,1606.0,442.0,2398.0,1602.0,787.0,15896.0,2841.0,9495.0,3560.0,1993.0,1903.0,2819.0,22852.0,12829.03
StatenIsland,10306,584.0,,,,,,188.0,635.0,213.0,1036.0,1544.0,1892.0,23571.0,4833.0,13999.0,4739.0,3963.0,1786.0,4812.0,55698.0,7104.18
StatenIsland,10307,166.0,,,,,,32.0,163.0,62.0,257.0,416.0,275.0,6246.0,1328.0,3615.0,1303.0,820.0,555.0,1314.0,11669.0,7091.02
StatenIsland,10308,211.0,,,,,,56.0,146.0,44.0,246.0,636.0,555.0,9292.0,2120.0,5290.0,1882.0,1296.0,740.0,2098.0,26451.0,14230.06
StatenIsland,10309,400.0,,,,,,22.0,113.0,32.0,167.0,569.0,443.0,12179.0,2195.0,7344.0,2640.0,2135.0,844.0,2171.0,27207.0,3862.03
StatenIsland,10312,518.0,,,,,,56.0,197.0,78.0,331.0,1065.0,947.0,17269.0,3418.0,10231.0,3620.0,2423.0,1206.0,3381.0,58867.0,7013.96
StatenIsland,10301,338.0,,,,,,1519.0,5882.0,1431.0,8832.0,3661.0,4502.0,28168.0,5402.0,16845.0,5921.0,3593.0,3515.0,5366.0,38805.0,10327.23
StatenIsland,10304,348.0,,,,,,1288.0,4177.0,1081.0,6546.0,2719.0,1904.0,32761.0,5846.0,19571.0,7344.0,4093.0,3872.0,5802.0,38972.0,10617.85
StatenIsland,10305,512.0,,,,,,192.0,592.0,167.0,951.0,1839.0,2052.0,16028.0,3301.0,9349.0,3378.0,1964.0,1492.0,3282.0,38450.0,8962.46
StatenIsland,10314,837.0,,,,,,254.0,745.0,185.0,1184.0,1640.0,2004.0,35639.0,6444.0,22260.0,6935.0,8750.0,2415.0,6402.0,84821.0,6550.27
