boro,zipcode,businesses,cafe,pawn,debt,cig,total_select_bus,hpdA,hpdB,hpdC,hpdTotal,negativeRodent,positiveRodent,total_crime,violation,misdemeanor,felony,theft,assault,harassment,population,pop_per_sqmile
Brooklyn,11228,345.0,1.0,1.0,1.0,42.0,45.0,294.0,727.0,259.0,1280.0,145.0,497.0,11543.0,1640.0,6137.0,3766.0,1725.0,1037.0,1625.0,41172.0,27177.25
Brooklyn,11204,588.0,1.0,0.0,0.0,67.0,68.0,1959.0,4900.0,1267.0,8126.0,363.0,640.0,15262.0,2221.0,8287.0,4754.0,2614.0,1473.0,2202.0,74880.0,46953.11
Brooklyn,11218,847.0,2.0,0.0,1.0,65.0,68.0,3535.0,9931.0,2992.0,16458.0,547.0,924.0,23056.0,2834.0,12561.0,7661.0,4130.0,2275.0,2810.0,74611.0,51580.19
Brooklyn,11219,568.0,1.0,0.0,1.0,53.0,55.0,2465.0,5821.0,1841.0,10127.0,437.0,789.0,23394.0,2918.0,12837.0,7639.0,4391.0,2098.0,2895.0,85987.0,57544.5
Brooklyn,11230,622.0,1.0,0.0,0.0,46.0,47.0,4435.0,10980.0,2989.0,18404.0,531.0,829.0,32588.0,3522.0,17450.0,11616.0,6013.0,2884.0,3489.0,88933.0,48088.05
Brooklyn,11234,738.0,1.0,1.0,1.0,58.0,61.0,507.0,2017.0,539.0,3063.0,649.0,1105.0,47223.0,5954.0,25781.0,15488.0,10026.0,3594.0,5884.0,86898.0,8846.37
Brooklyn,11236,487.0,,,,,,1042.0,5389.0,1724.0,8155.0,1041.0,1194.0,51481.0,8095.0,26461.0,16925.0,6017.0,5910.0,7987.0,96301.0,27271.95
Brooklyn,11239,52.0,,,,,,73.0,214.0,143.0,430.0,11.0,308.0,9545.0,633.0,6171.0,2741.0,3509.0,605.0,626.0,14620.0,19900.74
Brooklyn,11223,664.0,,,,,,1531.0,4037.0,1148.0,6716.0,466.0,962.0,33992.0,4573.0,18517.0,10902.0,4938.0,3335.0,4531.0,77691.0,37104.95
Brooklyn,11224,316.0,1.0,2.0,0.0,27.0,30.0,1705.0,4166.0,1208.0,7079.0,381.0,778.0,31295.0,4136.0,17739.0,9420.0,4101.0,3735.0,4073.0,51205.0,35066.79
Brooklyn,11229,643.0,1.0,0.0,2.0,53.0,56.0,1763.0,5206.0,1261.0,8230.0,479.0,745.0,23416.0,2761.0,12667.0,7988.0,4595.0,2066.0,2725.0,80554.0,36919.61
Brooklyn,11235,723.0,7.0,2.0,0.0,60.0,69.0,2511.0,7656.0,1786.0,11953.0,1148.0,4920.0,39462.0,5131.0,21942.0,12389.0,6911.0,3889.0,5075.0,77451.0,30866.46
Brooklyn,11201,421.0,15.0,3.0,3.0,67.0,88.0,906.0,2070.0,539.0,3515.0,1291.0,4589.0,48356.0,6257.0,28302.0,13797.0,12223.0,4037.0,6137.0,47746.0,33114.98
Brooklyn,11205,222.0,10.0,0.0,0.0,55.0,65.0,1393.0,3720.0,1134.0,6247.0,2644.0,3113.0,27329.0,3067.0,15111.0,9151.0,5561.0,2248.0,3013.0,35622.0,26893.82
Brooklyn,11215,498.0,14.0,0.0,1.0,70.0,85.0,2462.0,5764.0,1515.0,9741.0,1679.0,1386.0,24067.0,2846.0,13055.0,8166.0,5744.0,1664.0,2803.0,63001.0,27309.38
Brooklyn,11217,271.0,17.0,1.0,0.0,54.0,72.0,1138.0,2715.0,790.0,4643.0,2581.0,1853.0,34148.0,3682.0,20410.0,10056.0,10418.0,2457.0,3613.0,35353.0,46140.97
Brooklyn,11231,293.0,12.0,0.0,0.0,40.0,52.0,925.0,2519.0,634.0,4078.0,628.0,550.0,21548.0,2749.0,12548.0,6251.0,3660.0,2070.0,2698.0,32974.0,22776.82
Brooklyn,11203,459.0,1.0,2.0,0.0,65.0,68.0,4773.0,16513.0,5365.0,26651.0,1422.0,1434.0,48430.0,6089.0,25208.0,17133.0,5460.0,6298.0,5975.0,84498.0,38695.54
Brooklyn,11210,350.0,,,,,,2897.0,9228.0,2666.0,14791.0,570.0,876.0,26116.0,3035.0,14026.0,9055.0,4946.0,2630.0,3008.0,62308.0,38833.14
Brooklyn,11225,255.0,2.0,0.0,0.0,57.0,59.0,6951.0,21622.0,6393.0,34966.0,1723.0,7181.0,36114.0,4876.0,19906.0,11332.0,4704.0,4317.0,4749.0,63774.0,44803.32
Brooklyn,11226,607.0,,,,,,12993.0,40876.0,12641.0,66510.0,2098.0,2097.0,66234.0,8071.0,35444.0,22719.0,8299.0,9220.0,7928.0,106154.0,81064.34
Brooklyn,11207,603.0,,,,,,7313.0,26115.0,9286.0,42714.0,3402.0,17813.0,94750.0,10516.0,53841.0,30393.0,8304.0,13223.0,10221.0,86551.0,31820.27
Brooklyn,11208,604.0,,,,,,5235.0,17980.0,6875.0,30090.0,2147.0,13361.0,72308.0,8042.0,40782.0,23484.0,6972.0,9694.0,7820.0,87165.0,24992.88
Brooklyn,11211,432.0,32.0,1.0,0.0,108.0,141.0,2881.0,6857.0,2266.0,12004.0,2833.0,1509.0,35472.0,3416.0,19144.0,12912.0,6417.0,2962.0,3373.0,85089.0,44840.17
Brooklyn,11222,369.0,13.0,1.0,0.0,59.0,73.0,1494.0,3329.0,1037.0,5860.0,1455.0,2061.0,17625.0,2071.0,9577.0,5977.0,3381.0,1586.0,2042.0,39360.0,21724.29
Brooklyn,11220,783.0,,,,,,4612.0,11612.0,4432.0,20656.0,458.0,1095.0,38937.0,4863.0,21935.0,12139.0,5475.0,4755.0,4822.0,92718.0,54760.03
Brooklyn,11232,314.0,,,,,,1256.0,3322.0,1114.0,5692.0,375.0,737.0,18175.0,2195.0,10448.0,5532.0,2762.0,2061.0,2172.0,27723.0,20953.79
Brooklyn,11206,369.0,2.0,3.0,0.0,73.0,78.0,3471.0,9658.0,3290.0,16419.0,4563.0,7318.0,63837.0,6987.0,35330.0,21520.0,9923.0,7355.0,6853.0,69032.0,48593.28
Brooklyn,11221,427.0,1.0,3.0,0.0,98.0,102.0,7726.0,24406.0,9305.0,41437.0,7546.0,11741.0,64730.0,9124.0,33496.0,22110.0,6879.0,8381.0,8984.0,76363.0,55063.29
Brooklyn,11237,359.0,5.0,2.0,0.0,80.0,87.0,5792.0,17328.0,6465.0,29585.0,4259.0,11127.0,24406.0,2481.0,12355.0,9570.0,3071.0,3308.0,2446.0,48910.0,48552.49
Manhattan,10026,270.0,11.0,0.0,0.0,30.0,41.0,3454.0,8660.0,2821.0,14935.0,1955.0,7744.0,31330.0,4013.0,18920.0,8397.0,3228.0,3400.0,3912.0,30377.0,91152.04
Manhattan,10027,361.0,15.0,3.0,0.0,57.0,75.0,5535.0,15229.0,5537.0,26301.0,2960.0,17683.0,63233.0,8012.0,38288.0,16933.0,10670.0,6224.0,7741.0,56168.0,55006.21
Manhattan,10030,175.0,2.0,2.0,0.0,22.0,26.0,3954.0,10448.0,3528.0,17930.0,1546.0,8613.0,17819.0,2616.0,10268.0,4935.0,1348.0,2426.0,2517.0,25847.0,85824.24
Manhattan,10037,87.0,,,,,,1661.0,4180.0,1146.0,6987.0,494.0,2745.0,16328.0,1921.0,10295.0,4112.0,1291.0,1683.0,1854.0,16984.0,65200.97
Manhattan,10039,134.0,1.0,0.0,0.0,27.0,28.0,2464.0,7064.0,2376.0,11904.0,597.0,2211.0,26416.0,3778.0,15783.0,6855.0,2776.0,3519.0,3684.0,21737.0,70988.68
Manhattan,10001,592.0,10.0,1.0,5.0,98.0,114.0,591.0,1272.0,393.0,2256.0,651.0,4371.0,54025.0,4111.0,29699.0,20215.0,15057.0,3527.0,4031.0,17310.0,26111.88
Manhattan,10011,477.0,44.0,1.0,1.0,69.0,115.0,1946.0,4241.0,1366.0,7553.0,1323.0,9580.0,33067.0,3136.0,18026.0,11905.0,9277.0,2177.0,3081.0,46669.0,71113.64
Manhattan,10018,352.0,1.0,2.0,2.0,74.0,79.0,362.0,889.0,360.0,1611.0,236.0,2323.0,20819.0,1280.0,11166.0,8373.0,4603.0,1667.0,1248.0,4255.0,14250.83
