	87
10570	22
10573	45
10576	8
10577	1
10579	20
10580	14
10583	72
10587	1
10588	2
10589	10
10590	7
10591	16
10594	12
10595	15
10596	1
10598	46
10601	14
10602	1
10603	24
10604	19
10605	12
10606	12
10607	18
10701	112
10702	1
10703	40
10704	215
10705	84
10706	15
10707	37
10708	46
10709	25
10710	76
10725	1
10801	100
10802	1
10803	35
10804	29
10805	36
10901	20
10913	18
10914	2
10916	8
10917	2
10918	5
10920	15
10921	1
10922	2
10923	1
10924	5
10925	3
10926	3
10928	2
10930	6
10940	16
10941	7
10949	1
10950	23
10952	17
10954	23
10956	41
10958	3
10960	8
10962	6
10963	1
10964	1
10965	51
10968	3
10969	4
10970	5
10973	1
10974	3
10976	1
10977	25
10980	10
10983	5
10986	3
10987	4
10989	11
10990	14
10992	2
10993	1
10994	7
1100	1
11001	126
11002	1
11003	131
11004	101
11005	5
1101	2
11010	92
11020	23
11021	57
11023	24
11024	4
11030	48
11040	239
11042	5
11050	53
11096	45
11101	518
11102	306
11103	429
11104	220
11105	361
11106	320
11109	14
11201	421
11202	9
11203	459
11204	588
11205	222
11206	369
11207	603
11208	604
11209	577
11210	350
11211	432
11212	459
11213	316
11214	874
11215	498
11216	342
11217	271
11218	847
11219	568
11220	783
11221	427
11222	369
11223	664
11224	316
11225	255
11226	607
11228	345
11229	643
11230	622
11231	293
11232	314
11233	291
11234	738
11235	723
11236	487
11237	359
11238	322
11239	52
11241	3
11242	12
11247	3
11249	105
11252	1
11350	1
11352	1
11354	573
11355	492
11356	270
11357	415
11358	360
11359	2
11360	108
11361	240
11362	123
11363	46
11364	210
11365	235
11366	142
11367	210
11368	756
11369	202
11370	150
11371	9
11372	615
11373	546
11374	281
11375	422
11377	660
11378	469
11379	338
11385	952
11386	3
11410	1
11411	96
11412	188
11413	209
11414	255
11415	123
11416	260
11417	301
11418	454
11419	662
11420	490
11421	313
11422	153
11423	252
11424	1
11426	173
11427	140
11428	179
11429	187
11430	36
11431	7
11432	554
11433	251
11434	368
11435	482
11436	137
11439	1
11501	98
11507	41
11509	15
11510	65
11514	9
11516	32
11518	22
11520	105
11530	71
11542	53
11545	24
11547	4
11548	6
11550	83
11552	63
11553	37
11554	78
11556	1
11557	19
11558	50
11559	25
11560	20
11561	64
11563	57
11565	21
11566	55
11568	6
11570	45
11572	92
11575	22
11576	23
11577	38
11579	14
11580	193
11581	90
11582	1
11590	131
11596	36
11598	50
11691	177
11692	59
11693	80
11694	146
11697	20
11701	29
11702	21
11703	16
11704	53
11705	13
11706	63
11709	13
11710	99
11713	6
11714	78
11715	3
11716	26
11717	45
11718	2
11719	4
11720	16
11721	4
11722	18
11724	11
11725	36
11726	34
11727	18
11729	97
11730	17
11731	36
11732	4
11733	17
11735	77
11738	12
11739	3
11740	12
11741	29
11742	8
11743	51
11746	132
11747	57
11749	9
11751	12
11752	5
11753	26
11754	18
11755	15
11756	72
11757	77
11758	89
11762	36
11763	21
11764	5
11765	2
11766	15
11767	16
11768	25
11769	6
11771	6
11772	21
11776	21
11777	5
11778	7
11779	58
11780	17
11782	7
11783	30
11784	10
11786	3
11787	34
11788	27
11789	2
11790	6
11791	60
11792	4
11793	53
11795	33
11796	5
11797	20
11798	10
11801	120
11802	1
11803	71
11804	5
11901	10
11930	3
11931	1
11932	2
11933	5
11934	6
11937	8
11939	1
11940	1
11942	6
11944	1
11946	5
11948	1
11949	8
11950	7
11952	2
11953	6
11954	1
11955	1
11957	1
11958	1
11961	7
11963	5
11965	1
11967	17
11968	10
11971	3
11972	1
11975	1
11976	1
11978	3
11980	5
12010	2
12015	1
12017	2
12018	1
12029	1
12043	1
12051	1
12054	3
12060	1
12065	3
12076	1
12093	1
12100	1
12110	1
12158	1
12167	3
12169	1
12172	1
12180	1
12194	2
12198	1
122 0	1
12200	4
12201	1
12202	1
12203	5
12205	1
12206	2
12207	1
12210	1
12211	3
1224	2
12304	2
12309	1
12401	4
12404	2
12409	2
12413	1
12414	1
12424	2
12428	1
12440	1
12443	1
12444	1
12449	2
12450	2
12461	3
12464	1
12466	1
12469	1
12473	1
12477	6
12480	1
12486	1
12494	1
12496	1
12498	1
12508	7
12514	2
12518	3
12520	4
12521	1
12522	1
12523	1
12524	5
12528	2
12531	1
12533	29
12534	4
12538	4
12540	2
12542	1
12543	1
12547	1
12549	5
12550	13
12553	11
12563	6
12564	5
12566	3
12567	1
12569	4
12570	2
12571	3
12572	5
12582	5
12585	1
12586	3
12588	1
12589	4
12590	18
12601	8
12603	15
12701	8
12719	2
12721	4
12725	1
12729	1
12734	2
12737	1
12740	1
12742	1
12748	1
12754	2
12764	1
12769	1
12771	6
12783	1
12788	2
12789	1
12790	1
12822	1
12828	1
12831	1
12845	1
12866	1
12901	2
12993	1
12996	1
13030	1
1308	1
13088	1
13092	1
13202	1
13203	1
13204	2
13206	1
13214	1
13339	1
13428	1
13501	1
13502	1
13655	1
13732	2
13740	1
13757	1
13760	3
13776	1
13778	3
13788	1
13807	1
13815	1
13820	2
13827	1
13838	1
13842	2
13844	1
13850	2
13905	1
14009	1
14020	1
14043	1
14051	1
14052	2
14059	3
14068	1
14075	1
14094	3
14127	3
14150	2
14202	2
14203	1
14207	1
14209	1
14210	2
14211	3
14212	1
14215	1
14217	2
14218	1
14219	2
14221	9
14224	3
14225	8
14226	1
14227	1
14228	5
14450	1
14454	1
14530	1
14534	1
14569	1
14604	1
14614	3
14615	1
14618	3
14621	1
14623	3
14624	1
14701	1
14830	1
14845	2
14850	1
14870	1
15132	1
15205	2
15218	2
15219	1
15220	1
15276	1
15301	1
1550	1
15909	1
1603	1
1617	1
1631	1
1634	5
16801	1
16803	1
17011	2
17015	1
17050	2
17104	1
17111	2
17268	1
17401	1
17601	1
17603	2
1780	4
1781	2
17872	1
17963	1
18013	2
18015	3
18017	2
18039	1
18040	2
18042	2
18045	2
18064	3
18072	2
18088	2
1810	1
18102	1
18103	2
18104	1
18106	1
18109	1
18201	1
18210	1
18301	6
