40.859419519,-73.885388374
40.841065365,-73.917097601
40.750085334,-73.93822699
40.792411505,-73.972427963
40.828071392,-73.943520484
40.703478303,-73.889227048
40.719404551,-74.001884563
40.660449798,-73.956875819
40.672446507,-73.797063487
40.635943901,-74.075848012
40.745464028,-73.72717434
40.699464529,-73.939691217
40.682084646,-73.89115186
40.707130639,-73.966612942
40.663445257,-73.897565807
40.599621905,-73.746114004
40.767639701,-73.880954245
40.540236205,-74.205250681
40.673408152,-73.957563208
40.753086232,-73.853996895
40.710228568,-74.007745689
40.809003282,-73.94242767
40.831982041,-73.923490551
40.752909068,-73.827133091
40.663569288,-73.922840264
40.780817159,-73.983752716
40.838207599,-73.938134329
40.669033626,-73.89756083
40.725332748,-73.972672183
40.843213404,-73.911951891
40.649989998,-73.891225842
40.7643196,-73.995774215
40.827132073,-73.898520686
40.7040935,-73.986591831
40.787567301,-73.943132332
40.733926841,-73.871582398
40.626909657,-73.981689918
40.707478538,-73.803643969
40.61620917,-73.999828549
40.763800684,-73.973786302
40.732876229,-73.860333942
40.576124128,-73.99982505
40.805501602,-73.916477255
40.740308565,-74.0038266
40.686948573,-73.814132268
40.813088658,-73.957979911
40.663135317,-73.854474925
40.795129549,-73.944180462
40.638984176,-74.171252305
40.779762545,-73.819242428
40.640423121,-74.011611059
40.688793771,-73.983573208
40.695961728,-73.944187754
40.703662148,-73.936214213
40.599591579,-73.75619344
40.861389737,-73.869438296
40.848724157,-73.907646935
40.705637911,-73.837848739
40.665914167,-73.853203643
40.832324737,-73.931602749
40.71256428,-73.991120686
40.830641293,-73.874875576
40.712874124,-73.905137009
40.865841192,-73.895999497
40.736967968,-74.008253982
40.73448548,-73.868012689
40.68195166,-73.972390704
40.832892539,-73.875409777
40.639756334,-73.973143214
40.641432408,-74.017819698
40.601803273,-73.983313718
40.676828327,-73.934538222
40.65652514,-73.921305856
40.8117365,-73.889108283
40.674073702,-73.953845977
40.75012867,-73.987531779
40.688542277,-73.943494432
40.747881047,-73.991040191
40.751113794,-73.868531956
40.657474541,-73.950285744
40.677282897,-73.94284782
40.900001528,-73.864207785
40.814414915,-73.940533571
40.762442453,-73.909553438
40.667254786,-73.877665699
40.719334015,-73.793140051
40.806734361,-73.938969109
40.674000193,-73.881709008
40.657039834,-73.91556747
40.762304738,-73.818463153
40.632891042,-74.076831718
40.675726681,-73.94299336
40.692838277,-73.957229903
40.72358816,-73.977669603
40.820506479,-73.915757504
40.669033626,-73.89756083
40.638984176,-74.171252305
40.901219954,-73.901938127
40.819248897,-73.904548214
40.847650947,-73.900994204
