101	0	607
101	1	560
101	2	551
101	3	548
101	4	640
101	5	829
101	6	839
102	0	13
102	1	5
102	2	10
102	3	7
102	4	17
102	5	25
102	6	16
103	0	6
103	1	2
103	2	6
103	3	2
103	4	3
103	5	8
103	6	6
104	0	1829
104	1	1769
104	2	1773
104	3	1777
104	4	2071
104	5	2315
104	6	2256
104	-1	1
105	0	29403
105	1	28763
105	2	28492
105	3	27972
105	4	29860
105	5	27607
105	6	26656
105	-1	21
106	0	23904
106	1	23489
106	2	23038
106	3	23099
106	4	25285
106	5	32041
106	6	33263
106	-1	5
107	0	28735
107	1	27973
107	2	29624
107	3	28931
107	4	34588
107	5	22884
107	6	18641
107	-1	31
109	0	62088
109	1	61421
109	2	62440
109	3	62652
109	4	70001
109	5	59953
109	6	50555
109	-1	95
110	0	14746
110	1	14108
110	2	14272
110	3	14443
110	4	15865
110	5	14770
110	6	13837
110	-1	20
111	0	935
111	1	1541
111	2	1671
111	3	1686
111	4	1407
111	5	1170
111	6	703
112	0	10028
112	1	9194
112	2	8914
112	3	8894
112	4	9179
112	5	5961
112	6	4576
112	-1	22
113	0	5382
113	1	8266
113	2	8777
113	3	8622
113	4	7946
113	5	6247
113	6	4061
113	-1	3
114	0	2108
114	1	1940
114	2	1821
114	3	1842
114	4	1910
114	5	1993
114	6	2367
114	-1	3
115	0	10
115	1	15
115	2	22
115	3	21
115	4	24
115	5	15
115	6	15
116	0	1495
116	1	1419
116	2	1447
116	3	1544
116	4	1654
116	5	1762
116	6	1532
116	-1	2
117	0	4762
117	1	10688
117	2	12290
117	3	11563
117	4	11195
117	5	8281
117	6	3903
117	-1	1
118	0	3761
118	1	7543
118	2	8661
118	3	8627
118	4	8997
118	5	8160
118	6	4814
119	0	7
119	1	5
119	2	5
119	3	5
119	4	5
119	5	10
119	6	11
120	0	39
120	1	72
120	2	56
120	3	48
120	4	67
120	5	60
120	6	47
121	0	9333
121	1	9692
121	2	9916
121	3	9990
121	4	11021
121	5	11682
121	6	10779
121	-1	8
122	0	8
122	1	16
122	2	29
122	3	31
122	4	25
122	5	10
122	6	3
123	0	1
123	2	1
123	4	1
123	6	1
124	0	305
124	1	291
124	2	322
124	3	323
124	4	368
124	5	342
124	6	354
125	0	466
125	1	619
125	2	600
125	3	573
125	4	563
125	5	515
125	6	420
126	0	14321
126	1	16277
126	2	16974
126	3	16910
126	4	16987
126	5	16140
126	6	14648
126	-1	9
230	0	25
230	1	36
230	2	44
230	3	49
230	4	43
230	5	66
230	6	37
231	0	256
231	1	388
231	2	455
231	3	452
231	4	422
231	5	310
231	6	194
232	0	2191
232	1	3301
232	2	3550
232	3	3818
232	4	3376
232	5	2512
232	6	1629
233	0	6306
233	1	6684
233	2	6700
233	3	6632
233	4	6746
233	5	5693
233	6	5360
233	-1	9
234	0	5
234	1	13
234	2	18
234	3	16
234	4	34
234	5	18
234	6	7
235	0	22521
235	1	47562
235	2	51837
235	3	49613
235	4	49222
235	5	42189
235	6	22855
235	-1	2
236	0	6896
236	1	11059
236	2	12213
236	3	11919
236	4	12688
236	5	11457
236	6	7445
236	-1	3
237	0	12
237	1	28
237	2	16
237	3	24
237	4	30
237	5	29
237	6	29
238	0	265
238	1	372
238	2	477
238	3	402
238	4	399
238	5	449
238	6	280
238	-1	1
340	0	4775
340	1	5149
340	2	5093
340	3	5055
340	4	5105
340	5	3866
340	6	3007
340	-1	7
341	0	118028
341	1	120470
341	2	122480
341	3	119736
341	4	128186
341	5	113476
341	6	100016
341	-1	116
342	0	123
342	1	133
342	2	127
342	3	126
342	4	132
342	5	122
342	6	145
343	0	1522
343	1	1721
343	2	1799
343	3	1896
343	4	2011
343	5	1955
343	6	1605
343	-1	2
344	0	70391
344	1	68615
344	2	69149
344	3	69170
344	4	74601
344	5	83286
344	6	86355
344	-1	44
345	0	43
345	1	135
345	2	185
345	3	236
345	4	453
345	5	297
345	6	119
346	0	27
346	1	62
346	2	69
346	3	98
346	4	196
346	5	187
346	6	111
347	0	6290
347	1	4984
347	2	6488
347	3	7566
347	4	11119
347	5	19807
347	6	17476
347	-1	3
348	0	7765
348	1	8462
348	2	8758
348	3	8893
348	4	9197
348	5	8566
348	6	7491
348	-1	10
349	0	4
349	1	2
349	2	6
349	3	4
349	4	10
349	5	5
349	6	16
350	0	137
350	1	218
350	2	257
350	3	286
350	4	414
350	5	376
350	6	214
351	0	59436
351	1	59693
351	2	59996
351	3	60238
351	4	68148
351	5	65708
351	6	60068
351	-1	81
352	0	7148
352	1	10492
352	2	11298
352	3	10808
352	4	10971
352	5	9275
352	6	6556
352	-1	1
353	0	1853
353	1	1875
353	2	1996
353	3	2053
353	4	2268
353	5	2031
353	6	1746
353	-1	4
354	0	16
354	1	16
354	2	16
354	3	15
354	4	16
354	5	10
354	6	6
355	0	1447
355	1	1665
355	2	1867
355	3	1741
355	4	1931
355	5	1998
355	6	1690
355	-1	2
356	0	26
356	1	37
356	2	74
356	3	121
356	4	195
356	5	127
356	6	38
357	0	1
357	1	1
357	2	1
357	3	2
357	4	3
357	5	2
357	6	1
358	0	1504
358	1	2784
358	2	2907
358	3	2712
358	4	2931
358	5	2939
358	6	1962
359	0	12071
359	1	13929
359	2	14926
359	3	14640
359	4	15479
359	5	15434
359	6	13654
359	-1	1
360	0	2079
360	1	2350
360	2	2630
360	3	2559
360	4	2472
360	5	2138
360	6	1836
361	0	44241
361	1	42556
361	2	42069
361	3	40810
361	4	40853
361	5	35991
361	6	36528
361	-1	54
362	0	1
362	1	1
362	4	1
363	0	96
363	1	110
363	2	151
363	3	147
363	4	118
363	5	117
363	6	71
364	0	494
364	1	1159
364	2	1220
364	3	1204
364	4	985
364	5	615
364	6	317
365	0	1480
365	1	1555
365	2	1580
365	3	1498
365	4	1517
365	5	1271
365	6	1035
365	-1	3
366	0	4
366	1	9
366	2	11
366	3	7
366	4	3
366	5	6
366	6	5
455	0	13
455	1	7
455	2	10
455	3	16
455	4	9
455	5	3
455	6	1
460	0	1
460	1	2
460	2	3
460	3	1
460	4	6
460	5	3
571	0	14
571	1	12
571	2	33
571	3	37
571	4	49
571	5	42
571	6	20
572	0	86
572	1	106
572	2	118
572	3	96
572	4	162
572	5	138
572	6	122
572	-1	1
577	2	1
577	5	2
578	0	88563
578	1	88229
578	2	88683
578	3	87452
578	4	89015
578	5	80881
578	6	81229
578	-1	89
672	0	4
672	1	3
672	2	2
672	3	2
672	4	7
672	6	2
675	0	141
675	1	217
675	2	256
675	3	243
675	4	222
675	5	191
675	6	179
675	-1	1
676	0	1
676	1	2
676	2	8
676	4	9
676	5	5
676	6	6
677	0	24
677	1	29
677	2	29
677	3	36
677	4	50
677	5	46
677	6	25
678	0	953
678	1	1254
678	2	1293
678	3	1363
678	4	1386
678	5	1262
678	6	965
685	0	4
685	2	1
685	3	2
685	4	4
685	5	7
881	0	2
881	2	2
881	3	1
881	4	2
881	5	5
881	6	1
